姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
龙俊国,新疆,塔城,沙湾县人民医院,内科,急诊科,,,2.4,,对内科常见病、多发病及急诊重症抢救,,,,,,,,
叶里努·色尔哈孜,新疆,塔城,沙湾县人民医院,内科,急诊科,,,2.4,,对内科常见病、多发病的诊治,,,,,,,,
刘胜华,新疆,塔城,沙湾县人民医院,内科,肾病内科,副主任医师,,2.7,,急、慢性肾小球肾炎、肾病综合征、肾功能衰竭等泌尿系统疾病的诊治，以及血液净化治疗等,"5,044次",0篇,0位,0位,0位,,,
刘欣茹,新疆,塔城,沙湾县人民医院,内科,肾病内科,,,2.4,,,,,,,,,,
张兆鑫,新疆,塔城,沙湾县人民医院,内科,肾病内科,,,2.4,,,,,,,,,,
邵亚楠,新疆,塔城,沙湾县人民医院,内科,肾病内科,,,2.4,,,,,,,,,,
潘诣,新疆,塔城,沙湾县人民医院,内科,神经内科,副主任医师,,2.5,,,,,,,,,,
刘凤霞,新疆,塔城,沙湾县人民医院,内科,神经内科,,,2.4,,,,,,,,,,
王佳丽,新疆,塔城,沙湾县人民医院,内科,神经内科,,,2.4,,,,,,,,,,
刘远致,新疆,塔城,沙湾县人民医院,内科,内科,,,2.4,,,,,,,,,,
熊美清,新疆,塔城,沙湾县人民医院,内科,内科,,,2.4,,,,,,,,,,
毛志泽,新疆,塔城,沙湾县人民医院,外科,泌尿外科,副主任医师,,2.7,,泌尿外科常见的疾病及普外科急腹症和常见病，如：消化道穿孔修补术、肠破裂修补术、无张力疝修补术，腹腔镜下阑尾切除术、胆囊切除术、精索静脉高位结扎术，输尿管镜探查碎石术、膀胱肿瘤电切术，隐睾下降固定术等,,,,,,,,
田成刚,新疆,塔城,沙湾县人民医院,外科,泌尿外科,,,2.5,,,,,,,,,,
秦建领,新疆,塔城,沙湾县人民医院,外科,泌尿外科,,,2.5,,,,,,,,,,
李东波,新疆,塔城,沙湾县人民医院,外科,泌尿外科,,,2.5,,,,,,,,,,
胡志林,新疆,塔城,沙湾县人民医院,外科,骨科烧伤整形科,副主任医师,,2.5,,在治疗各种复杂、多发骨折、骨不连、创伤性休克、脊柱、关节疾病，尤其是在创伤修复、周围血管、神经损伤、软组织缺损修复、显微修复、功能重建等治疗上积累了丰富的临床经验,,,,,,,,
席国文,新疆,塔城,沙湾县人民医院,外科,骨科烧伤整形科,副主任医师,,2.5,,在治疗各种复杂骨折、多发性骨折、骨不连、创伤性休克、关节镜下半月板切除，成形，缝合术，前后交叉韧带断裂重建术，髌骨脱位，肩关节脱位，肩袖损伤，肩峰撞击综合症等治疗具有丰富的临床经验,,,,,,,,
赵红光,新疆,塔城,沙湾县人民医院,外科,骨科烧伤整形科,,,2.4,,四肢骨折的手术及保守治疗,,,,,,,,
范广学,新疆,塔城,沙湾县人民医院,外科,骨科烧伤整形科,,,2.4,,,,,,,,,,
翟文裕,新疆,塔城,沙湾县人民医院,外科,胸外科,主任医师,,2.7,,甲状腺肿物切除及甲癌根治术，B超引导下乳腺肿物活检术，乳腺癌改良根治术+前哨淋巴结活检术和保乳术、大隐静脉曲张高位结扎+微创点式剥脱术，结直肠癌根治术、胃癌根治术、肝包虫内囊完整摘除术、腹腔镜小儿疝高位结扎术，腹腔镜胆囊切除+胆总管切开取石术、腹腔镜阑尾切除、胃十二指肠球部溃疡穿孔修补、腔镜下成人疝修补术（TEP/TAPP）和胸腹创伤的相关急诊手术处理,,,,,,,,
余堂奎,新疆,塔城,沙湾县人民医院,外科,胸外科,,,2.4,,普外胸外科常见病的诊治,,,,,,,,
刘天超,新疆,塔城,沙湾县人民医院,外科,胸外科,,,2.4,,,,,,,,,,
赵思远,新疆,塔城,沙湾县人民医院,外科,胸外科,,,2.4,,,,,,,,,,
许凌峰,新疆,塔城,沙湾县人民医院,外科,神经外科,副主任医师,,2.6,,神经内、外科常见病及多发病的诊治。在颅脑创伤、高血压脑出血、凸面脑膜瘤等手术治疗上有丰富的经验,,,,,,,,
朱小明,新疆,塔城,沙湾县人民医院,外科,神经外科,,,2.4,,,,,,,,,,
魏晋生,新疆,塔城,沙湾县人民医院,外科,肛肠科,,,2.4,,,,,,,,,,
卢培,新疆,塔城,沙湾县人民医院,妇儿,妇产科,,,2.4,,妇产科疑难危重症的诊断和治疗,,,,,,,,
张晓勤,新疆,塔城,沙湾县人民医院,妇儿,妇产科,,,2.4,,,,,,,,,,
何福英,新疆,塔城,沙湾县人民医院,妇儿,妇产科,,,2.4,,,,,,,,,,
张惠霞,新疆,塔城,沙湾县人民医院,妇儿,妇产科,,,2.4,,,,,,,,,,
吴婷婷,新疆,塔城,沙湾县人民医院,妇儿,妇产科,,,2.4,,,,,,,,,,
侯霜,新疆,塔城,沙湾县人民医院,妇儿,妇产科,,,2.4,,,,,,,,,,
夏建萍,新疆,塔城,沙湾县人民医院,妇儿,妇产科,,,2.4,,妇科、产科领域常见病、多发病,,,,,,,,
罗文秀,新疆,塔城,沙湾县人民医院,妇儿,妇产科,,,2.4,,妇产科常见病、妊娠合并症、宫颈疾病诊治,,,,,,,,
任奇红,新疆,塔城,沙湾县人民医院,妇儿,妇产科,,,2.4,,,,,,,,,,
朱尧,新疆,塔城,沙湾县人民医院,妇儿,儿科,主任医师,,2.7,,儿科及新生儿科各种常见病、多发病及疑难杂症积累了丰富的临床经验,,,,,,,,
魏蜻,新疆,塔城,沙湾县人民医院,妇儿,儿科,主任医师,,2.6,,呼吸系统、消化系统、肾脏疾病、新生儿疾病、小儿急救、儿童心理行为等疾病的诊治，尤其对儿童急危重症、小儿惊厥、婴幼儿哮喘、儿童慢性咳嗽、过敏性紫癜、小儿液体疗法、新生儿窒息、新生儿呼吸窘迫综合征、新生儿感染性疾病、新生儿缺氧缺血性脑病、儿童保健等疾病有独到之处,,,,,,,,
马道,新疆,塔城,沙湾县人民医院,妇儿,儿科,副主任医师,,2.5,,,,,,,,,,
王玉瑕,新疆,塔城,沙湾县人民医院,妇儿,儿科,,,2.4,,,,,,,,,,
万春雷,新疆,塔城,沙湾县人民医院,妇儿,儿科,,,2.4,,,,,,,,,,
周晓琴,新疆,塔城,沙湾县人民医院,妇儿,儿科,,,2.4,,,,,,,,,,
易洪漪,新疆,塔城,沙湾县人民医院,其他,口腔科,副主任医师,,2.7,,牙体牙髓病、根尖周病、口腔黏膜病、牙周病、口腔颌面部的良性肿瘤、颌面部外伤等疾病的诊断和治疗,,,,,,,,
伏勇,新疆,塔城,沙湾县人民医院,其他,口腔科,主任医师,,2.6,,各类一体牙列缺失缺损的诊断及修复。特别是烤瓷冠桥固定修复牙列缺损及前牙美容修复；口腔正畸方面从事口腔牙列不齐的诊断及治疗工作,,,,,,,,
宋晓元,新疆,塔城,沙湾县人民医院,其他,口腔科,,,2.5,,,,,,,,,,
杨银钰,新疆,塔城,沙湾县人民医院,其他,口腔科,,,2.5,,,,,,,,,,
舍玉秀,新疆,塔城,沙湾县人民医院,其他,口腔科,,,2.5,,,,,,,,,,
梁雪云,新疆,塔城,沙湾县人民医院,其他,口腔科,,,2.5,,龋病的充填治疗，疑难牙髓病等的诊治,,,,,,,,
张卫琴,新疆,塔城,沙湾县人民医院,其他,口腔科,,,2.5,,,,,,,,,,
厉彦屹,新疆,塔城,沙湾县人民医院,其他,口腔科,,,2.5,,,,,,,,,,
张炳义,新疆,塔城,沙湾县人民医院,其他,口腔科,,,2.5,,,,,,,,,,
冯娟,新疆,塔城,沙湾县人民医院,其他,眼耳鼻喉科,主任医师,副教授,4.2,1520,"1 擅长耳鼻咽喉头颈外科临床常见病、多发病及急诊的诊断及治疗。
2 擅长功能性鼻内镜手术，熟练开展鼻出血、鼻窦炎、鼻息肉、鼻中隔偏曲、慢性鼻炎、鼻腔鼻窦肿瘤相关鼻内镜手术，鼻腔泪囊吻合术。
3 擅长阻塞性睡眠呼吸暂停低通气综合症手术，扁桃体腺样体低温等离子手术，支撑喉镜下声带息肉、声带小结、声带囊肿切除及CO2激光喉部良、恶性肿瘤切除术。
4 擅长耳内镜下及显微镜下鼓膜修补术、鼓室成型术、乳突根治术、听骨链重建、外中耳的良恶性肿瘤切除。
5 擅长重度感音神经性耳聋患者电子耳蜗植入手术。
6耳廓畸形的矫正，小耳畸形听力重建，骨桥植入手术。","178,732次",43篇,1520位,1100位,1142位,3,1142例,677例
蔡立水,新疆,塔城,沙湾县人民医院,其他,眼耳鼻喉科,,,2.4,,眼耳鼻喉科常见病、多发病诊治,,,,,,,,
陈新芳,新疆,塔城,沙湾县人民医院,其他,眼耳鼻喉科,,,2.4,,,,,,,,,,
许洁,新疆,塔城,沙湾县人民医院,其他,眼耳鼻喉科,,,2.4,,,,,,,,,,
许尔博,新疆,塔城,沙湾县人民医院,其他,眼耳鼻喉科,,,2.4,,,,,,,,,,
吴亚娇,新疆,塔城,沙湾县人民医院,其他,眼耳鼻喉科,,,2.4,,,,,,,,,,
孔维民,新疆,塔城,沙湾县人民医院,其他,中医科,,,2.6,,,,,,,,,,
况荣伟,新疆,塔城,沙湾县人民医院,其他,中医科,,,2.6,,,,,,,,,,
加米西·马木尔江,新疆,塔城,沙湾县人民医院,其他,中医科,,,2.6,,针药结合治疗痛经、月经不调等,,,,,,,,
邢民军,新疆,塔城,沙湾县人民医院,其他,中医科,,,2.6,,中西医结合治疗呼吸、消化系统疾病,,,,,,,,
郑军文,新疆,塔城,沙湾县人民医院,其他,中医科,,,2.6,,,,,,,,,,
肖英松,新疆,塔城,沙湾县人民医院,其他,中医科,,,2.6,,,,,,,,,,
杨玉萍,新疆,塔城,沙湾县人民医院,其他,康复科,,,2.5,,颈肩腰腿痛、椎间盘突出、骨关节病等的诊治,,,,,,,,
赵永昶,新疆,塔城,沙湾县人民医院,其他,康复科,,,2.5,,骨伤、颈椎病、腰椎间盘突出症等的诊治,,,,,,,,
戴炜,新疆,塔城,沙湾县人民医院,其他,康复科,,,2.5,,,,,,,,,,
雷建军,新疆,塔城,沙湾县人民医院,其他,疼痛科,,,2.5,,,,,,,,,,
杨永华,新疆,塔城,沙湾县人民医院,其他,疼痛科,,,2.5,,,,,,,,,,
彭亚丽,新疆,塔城,沙湾县人民医院,其他,疼痛科,,,2.5,,,,,,,,,,
王淑新,新疆,塔城,沙湾县人民医院,其他,皮肤科,副主任医师,,3.1,,对各种皮肤病及性病均有丰富的诊断及治疗经验，尤其对湿疹、荨麻疹、银屑病、白癜风、带状疱疹、酒渣样皮炎、过敏性紫癜等疾病的治疗有自己的独特之处,,,,,,,,
蔡邦武,新疆,塔城,沙湾县人民医院,其他,皮肤科,,,2.7,,,,,,,,,,
吴疆,新疆,塔城,兵团九师医院,内科,内科,副主任医师,,2.7,,高血压、糖尿病、冠心病等慢性病的诊治,,,,,,,,
樊贞玉,新疆,塔城,兵团九师医院,内科,内科,主任医师,,2.5,,慢阻肺、支气管哮喘、慢性咳嗽、肺心病、幽门螺杆菌感染、消化道溃疡、消化道出血、肝硬化、泌尿系感染等疾病的诊断及治疗，以及血液透析的治疗,,,,,,,,
宋全军,新疆,塔城,兵团九师医院,内科,内科,主任医师,,2.5,,内科疾病的诊断与治疗，尤其对甲状腺疾病、糖尿病、高血压、心血管疾病的诊治有较丰富的临床经验,,,,,,,,
刘卫洪,新疆,塔城,兵团九师医院,外科,泌尿外科,副主任医师,,2.6,,泌尿外科多种微创诊治技术，尤其是对泌尿系结石、前列腺增生等的各种微创诊疗技术、男性生殖系统常见疾病具有丰富的治疗经验,,,,,,,,
付微平,新疆,塔城,兵团九师医院,外科,骨科,主任医师,,2.5,,创伤骨科及运动医学、关节疾患及脊柱常见病的诊治,,,,,,,,
胥小波,新疆,塔城,兵团九师医院,外科,神经外科,主治医师,,2.5,,脑出血、颅脑损伤,"6,128次",0篇,0位,0位,0位,,,
蔡云霞,新疆,塔城,兵团九师医院,妇儿,妇产科,副主任医师,副教授,2.7,140,妇产科的常见病及多发病的诊治,"113,403次",0篇,140位,25位,28位,,,
张晓,新疆,塔城,兵团九师医院,妇儿,妇产科,主治医师,,2.5,32,剖腹产、分娩、产前诊断、女性炎症等妇科疾病,"36,107次",0篇,32位,19位,20位,,,
翟洁,新疆,塔城,兵团九师医院,妇儿,妇产科,主治医师,,2.5,742,妇科微创手术－腹腔镜下宫外孕手术，输卵管切除术，卵巢肿瘤剥除术，附件切除术，全子宫切除术等，宫腔镜检查及宫腔镜下子宫内膜息肉摘除术等，宫颈LEEP刀，人流手术，中期引产手术，产科各种急危重症抢救及处理，熟练剖宫产术等。,"397,703次",0篇,742位,209位,209位,,,
许春玲,新疆,塔城,兵团九师医院,妇儿,儿科,副主任医师,,2.5,,儿科常见病，多发病的诊治，如腹泻，肺炎等,"7,988次",0篇,0位,0位,0位,,,
周智君,新疆,塔城,兵团九师医院,妇儿,儿科,主治医师,,2.5,9,儿童常见病及多发病，如支气管肺炎，腹泻病等,"19,440次",0篇,9位,0位,0位,,,
耿淑霞,新疆,塔城,兵团九师医院,妇儿,儿科,主治医师,,2.5,,小儿肺炎、小儿腹泻等,"6,128次",0篇,0位,0位,0位,,,
金蓉,新疆,塔城,兵团九师医院,其他,功能科,副主任医师,,2.5,,做腹部、乳腺、甲状腺、妇科、产科及血管等疾病的诊断,,,,,,,,
鲁厚文,新疆,塔城,兵团九师医院,其他,医学影像科,副主任医师,,2.5,,在放射影像诊断及磁共振诊断方面积累了较为丰富的临床经验。尤其对肝脏泡状棘球蚴病的影像诊断方面有较丰富的临床经验,,,,,,,,
傅鹏,新疆,塔城,兵团九师医院,其他,口腔科,住院医师,,2.5,,口腔颌面外科疾病诊治，尤其在颌面部外伤，口腔黏膜病、牙体牙髓病、牙周病、口腔修复等方面有着丰富的临床经验,,,,,,,,
裴玉新,新疆,塔城,兵团九师医院,其他,皮肤科,副主任医师,,2.8,,常见和疑难皮肤性病的临床诊断和治疗,,,,,,,,
喻建,新疆,塔城,兵团九师医院,其他,麻醉科,副主任医师,,2.5,,小儿及老年人的麻醉及重症监测与治疗,,,,,,,,
李国庆,新疆,塔城,兵团九师医院,其他,眼科,副主任医师,,2.5,,小切口白内障手术、超乳、青光眼小梁切除术、翼状胬肉角膜缘干细胞移植术、玻璃体腔注药术、眼球裂伤缝合术、虹膜YAG激光光凝术、眼底视网膜光凝术、小儿近视防控及弱视治疗等,,,,,,,,
马桂花,新疆,塔城,额敏县人民医院,内科,心血管内科,主任医师,,2.8,13,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"10,062次",0篇,13位,13位,13位,,,
梁万华,新疆,塔城,额敏县人民医院,内科,心血管内科,主任医师,,2.8,,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"4,513次",0篇,0位,0位,0位,,,
孙茜,新疆,塔城,额敏县人民医院,内科,心血管内科,主治医师,,2.7,30,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"9,773次",0篇,30位,30位,30位,,,
任自洁,新疆,塔城,额敏县人民医院,内科,心血管内科,主治医师,,2.7,,心血管疾病,"5,535次",0篇,0位,0位,0位,,,
卢洁,新疆,塔城,额敏县人民医院,内科,心血管内科,住院医师,,2.6,3,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"5,608次",0篇,3位,3位,3位,,,
阿依努尔·依斯哈尔,新疆,塔城,额敏县人民医院,内科,心血管内科,住院医师,,2.5,1,高血压等,"4,186次",0篇,1位,1位,1位,,,
王艳,新疆,塔城,额敏县人民医院,内科,心血管内科,住院医师,,2.4,4,冠心病、高血压、糖尿病,"4,949次",0篇,4位,3位,4位,,,
陈田真,新疆,塔城,额敏县人民医院,内科,心血管内科,住院医师,,2.4,,高血压，急慢性心衰，冠心病，心律失常，心肌病，高血脂等内科常见疾病的诊治,"4,158次",0篇,0位,0位,0位,,,
冯玲,新疆,塔城,额敏县人民医院,内科,高血压神经内科,主治医师,,2.5,3,擅长心血管内科常见疾病，如高血压病，冠心病，心力衰竭，糖尿病，慢性阻塞性肺疾病，支气管哮喘，神经内科等疾病的诊治。,"5,994次",0篇,3位,3位,3位,,,
李婷,新疆,塔城,额敏县人民医院,内科,高血压神经内科,住院医师,,2.5,1,高血压及其并发症的诊治等,"4,237次",0篇,1位,1位,1位,,,
王文盛,新疆,塔城,额敏县人民医院,内科,消化内分泌科,主任医师,,2.8,,糖尿病及其并发症，甲状腺疾病，以及垂体、性腺、肾上腺等疾病的诊治,"4,956次",0篇,0位,0位,0位,,,
王洪燕,新疆,塔城,额敏县人民医院,内科,消化内分泌科,住院医师,,2.6,,内科常见疾病的诊治，尤其擅长内分泌科疾病的诊治,"4,347次",0篇,0位,0位,0位,,,
徐宏海,新疆,塔城,额敏县人民医院,内科,血透中心,主治医师,,2.8,1,肾脏疾病 血液透析,"10,611次",0篇,1位,1位,1位,,,
王亚豪,新疆,塔城,额敏县人民医院,外科,普外科,住院医师,,2.4,1,各类常见普外科几骨科疾病,"9,770次",0篇,1位,0位,0位,,,
裴军妹,新疆,塔城,额敏县人民医院,妇儿,新生儿科,,,2.4,2,新生儿窒息、新生儿早产,"12,582次",0篇,2位,2位,2位,,,
顾茂民,新疆,塔城,新疆乌苏市中医院,中医,中医内科,主任医师,,2.7,,老年病，消化系统，呼吸系统常见病，多病的诊断治疗。,,,,,,,,
杨建军,新疆,塔城,新疆乌苏市中医院,中医,中医内科,主任医师,,2.7,,"急性心肌梗死及各种心肌病,心力衰竭,高血压,心律失常的诊断和治疗",,,,,,,,
孙燕萍,新疆,塔城,新疆乌苏市中医院,中医,中医内科,主任医师,,2.7,,"糖尿病及其并发症,甲状腺,痛风,骨质疏松等病的诊断和治疗",,,,,,,,
吴儒章,新疆,塔城,新疆乌苏市中医院,中医,中医内科,主任医师,,2.7,,"脑血管,神经系统疾病.如眩晕,脑动脉硬化癫痫等疾病的诊断和治疗",,,,,,,,
郑志波,新疆,塔城,新疆乌苏市中医院,中医,骨伤科,主任医师,,2.9,,擅长颈椎病，腰椎间盘突出，坐骨神经痛，风湿及类风湿性关节炎的诊断和治疗。,,,,,,,,
张红生,新疆,塔城,新疆乌苏市中医院,中医,骨伤科,主治医师,,2.9,,擅长骨科常见病与多发病的诊断及治疗：腰椎间盘突出症后路开窗减压髓核摘除椎间融合椎弓根钉棒系统内固定术、胸腰椎骨折椎体成型术、粗隆间骨折PFNA内固定术、四肢各类骨折切开复位内固定术以及关节镜和椎间孔镜下微创手术等。,"1,773次",0篇,0位,0位,0位,,,
宋昭仁,新疆,塔城,新疆乌苏市中医院,中医,骨伤科,主任医师,,2.9,,四肢骨折，腰椎间盘突出症的诊断和治疗，腰椎体滑脱及髋关节置换手术治疗,,,,,,,,
潘丽,新疆,塔城,新疆乌苏市中医院,中医,针灸科,住院医师,,2.7,,颈肩腰腿疼痛、面瘫、带状疱疹、脊柱炎、眩晕、失眠,"6,047次",0篇,0位,0位,0位,,,
才吾尕,新疆,塔城,新疆乌苏市中医院,其他,蒙医科,副主任医师,,2.5,,骨关节病，消化系统，布鲁氏病，类风湿病，高血压的诊断治疗,,,,,,,,
方立龙,新疆,塔城,托里县人民医院,外科,骨与神经外科,副主任医师,,3.0,49,运动损伤疾病的诊断及治疗，膝关节骨性关节炎的诊断及阶梯治疗（包括保守治疗、关节镜微创治疗、保膝治疗、单髁置换、全膝关节置换术）、拇外翻（大脚骨）的保守及手术治疗，运动损伤性疾病的微创治疗，如关节镜下膝关节前、后交叉韧带损伤修复及重建、髌骨脱位微创治疗、侧副韧带损伤修复与重建、半月板损伤修复、关节镜下关节内骨折复位固定，关节镜下腘窝囊肿切除、关节游离体取出、关节滑膜炎等，肩关节肩袖损伤修复，肩峰撞击症的治疗、肩袖钙化性肌腱炎、黏连性肩关节囊炎、二头肌肌腱炎，踝关节不稳、踝关节韧带损伤修复、踝关节撞击症等关节疾病的微创治疗。,"8,869次",8篇,49位,43位,43位,,,
杜曼,新疆,塔城,托里县人民医院,其他,皮肤科,副主任医师,,3.0,1,银屑病，白癜风，带包疱疹等,"5,693次",0篇,1位,0位,0位,,,
齐小明,新疆,塔城,塔城市人民医院,内科,内一科（呼吸内分泌科）,副主任医师,,2.8,2,,992次,0篇,2位,0位,0位,,,
魏林峰,新疆,塔城,塔城市人民医院,其他,中医科,住院医师,,2.7,,,127次,0篇,0位,0位,0位,,,
木塔力甫祖农,新疆,塔城,塔西南勘探开发公司职工医院,内科,急诊科,主治医师,,2.5,,,"22,733次",0篇,0位,0位,0位,,,
