姓名,省/直辖市,市/区,医院,科室类别,科室,职称,教育职称,综合推荐热度,在线问诊量,擅长,个人网站总访问,个人网站总文章,个人网站总患者,微信诊后报道患者,总诊后报到患者,诊后服务星,诊治后患者数,随访中患者数
林婵婵,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,3.0,31,急慢性胃肠炎，胃及十二指肠溃，反流性疾病，肠易激综合症，炎症性肠病，功能性消化不良，肝硬化，脂肪肝，酒精肝，胆囊炎等，以及消化内镜的诊断与治疗等,"25,084次",4篇,31位,17位,17位,,,
颜国栋,福建,泉州,福建省泉州市第一医院,内科,消化内科,副主任医师,,2.9,,消化系统疾病的诊断及治疗,,,,,,,,
陈小令,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,2.9,,消化系统疾病的诊断及治疗,"7,978次",0篇,0位,0位,0位,,,
周阿佩,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,2.9,112,消化系统常见病诊治,"24,453次",0篇,112位,6位,6位,,,
刘晓强,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,2.9,7,消化内科常见病,"12,929次",0篇,7位,0位,0位,,,
曾以琳,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,2.9,26,消化性溃疡、慢性胃炎,"16,634次",7篇,26位,26位,26位,,,
黄子成,福建,泉州,福建省泉州市第一医院,内科,消化内科,主任医师,,2.8,5,消化内科各种疾病的临床诊疗及内镜下的各种诊疗。消化系统常见病及各种疑难、危重疾病，如重症胰腺炎、急性大出血、急性中毒等。内镜下的各种检查及治疗，如息肉切除、食管狭窄扩张、内镜下止血、食管支架置入及回收、肠道支架置术等,"66,809次",0篇,5位,0位,0位,,,
王木成,福建,泉州,福建省泉州市第一医院,内科,消化内科,主任医师,,2.8,,,,,,,,,,
陈培忠,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,2.8,2,胃肠疾病的诊治及消化内镜的临床应用,"3,558次",0篇,2位,0位,0位,,,
郭桂元,福建,泉州,福建省泉州市第一医院,内科,消化内科,副主任医师,,2.8,,消化内科各种疾病的临床诊疗及内镜下的各种诊疗,"8,924次",0篇,0位,0位,0位,,,
张静文,福建,泉州,福建省泉州市第一医院,内科,消化内科,副主任医师,,2.8,,种农药中毒的抢救,,,,,,,,
张葵玲,福建,泉州,福建省泉州市第一医院,内科,消化内科,副主任医师,,2.8,,,,,,,,,,
黄安业,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,2.8,,消化系统疾病的诊断及治疗,"6,907次",0篇,0位,0位,0位,,,
庄亚琼,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,2.8,,,,,,,,,,
郑彬彬,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,2.8,,,,,,,,,,
陈新琦,福建,泉州,福建省泉州市第一医院,内科,消化内科,主治医师,,2.8,,,,,,,,,,
吴马谦,福建,泉州,福建省泉州市第一医院,内科,消化内科,,,2.7,,,,,,,,,,
许伯明,福建,泉州,福建省泉州市第一医院,内科,消化内科,住院医师,,2.7,,,,,,,,,,
黄天浩,福建,泉州,福建省泉州市第一医院,内科,消化内科,住院医师,,2.7,,,,,,,,,,
李国前,福建,泉州,福建省泉州市第一医院,内科,神经内科,主任医师,,3.0,,炎症性和脱髓鞘性病变、中风、癫痫、头痛、眩晕、神经衰弱、痴呆、肢体麻木,,,,,,,,
蔡江萍,福建,泉州,福建省泉州市第一医院,内科,神经内科,主任医师,教授,3.3,4,脑血管病、帕金森病和运动障碍、颅内感染、神经免疫性疾病、癫痫、肌肉与周围神经疾病、痴呆失眠、头痛头晕及抑郁焦虑,"22,040次",0篇,4位,0位,0位,,,
杨小霞,福建,泉州,福建省泉州市第一医院,内科,神经内科,主任医师,教授,3.2,,神经内科疾病、脑血管病、癫痫、头痛与头晕、运动障碍及失眠等,,,,,,,,
吴志生,福建,泉州,福建省泉州市第一医院,内科,神经内科,副主任医师,,3.1,17,脑血管疾病,"22,053次",0篇,17位,8位,8位,,,
于凯,福建,泉州,福建省泉州市第一医院,内科,神经内科,主任医师,,3.0,,神经病学及心理疾病诊治,,,,,,,,
洪诸权,福建,泉州,福建省泉州市第一医院,内科,神经内科,副主任医师,,3.0,111,脑出血，脑梗塞及脑血管病介入治疗，颅内感染，头晕头痛，失眠，帕金森病等。,"64,356次",5篇,111位,4位,4位,,,
宫淑杰,福建,泉州,福建省泉州市第一医院,内科,神经内科,主任医师,,3.0,9,神经内科疾病及神经介入的治疗,"22,324次",0篇,9位,0位,0位,,,
黄佳欣,福建,泉州,福建省泉州市第一医院,内科,神经内科,住院医师,,2.9,15,脑血管病,"23,870次",0篇,15位,0位,0位,,,
郑六经,福建,泉州,福建省泉州市第一医院,内科,神经内科,副主任医师,,2.9,,高血压病、急慢性脑血管病（中风）的防治,,,,,,,,
黄文立,福建,泉州,福建省泉州市第一医院,内科,神经内科,住院医师,,2.9,,脑血管疾病，头痛，头晕，癫痫，帕金森，周围神经病,"4,952次",0篇,0位,0位,0位,,,
唐文炳,福建,泉州,福建省泉州市第一医院,内科,神经内科,副主任医师,,2.8,,神经内科危重病,,,,,,,,
吴东熹,福建,泉州,福建省泉州市第一医院,内科,神经内科,副主任医师,,2.8,,神经内科临床医疗及心理咨询门诊,,,,,,,,
留晓强,福建,泉州,福建省泉州市第一医院,内科,神经内科,副主任医师,,2.8,,"脑血管病，头晕，头痛,帕金森病，癡痈,神经衰弱抑郁焦虑状态，周围性面瘫等周围神经病。",,,,,,,,
姚庆阳,福建,泉州,福建省泉州市第一医院,内科,神经内科,副主任医师,,2.8,,脑血管病、帕金森病、痴呆、头痛、失眠焦虑脱髓鞘、重症肌无力等神经系统疾病。,,,,,,,,
黄丹霞,福建,泉州,福建省泉州市第一医院,内科,神经内科,副主任医师,,2.8,,,,,,,,,,
魏晓兰,福建,泉州,福建省泉州市第一医院,内科,神经内科,主治医师,,2.8,1393,"神经免疫疾病如视神经脊髓炎,多发性硬化，脑血管病如脑梗塞脑出血，头晕头痛，帕金森病，痴呆，重症肌无力等","128,365次",0篇,1393位,6位,6位,,,
李植灿,福建,泉州,福建省泉州市第一医院,内科,神经内科,主治医师,,2.8,,,,,,,,,,
杨美青,福建,泉州,福建省泉州市第一医院,内科,神经内科,主治医师,,2.8,,,,,,,,,,
秦丹霞,福建,泉州,福建省泉州市第一医院,内科,神经内科,主治医师,,2.8,,,,,,,,,,
洪全龙,福建,泉州,福建省泉州市第一医院,内科,神经内科,主治医师,,2.8,,,,,,,,,,
周玉云,福建,泉州,福建省泉州市第一医院,内科,神经内科,住院医师,,2.8,,能熟练学握神经内科常见病及多发病的诊断和治疗。,,,,,,,,
王惠民,福建,泉州,福建省泉州市第一医院,内科,神经内科,主治医师,,2.8,,,,,,,,,,
庄一虹,福建,泉州,福建省泉州市第一医院,内科,神经内科,主治医师,,2.8,,,,,,,,,,
潘莹,福建,泉州,福建省泉州市第一医院,内科,神经内科,主治医师,,2.8,,,,,,,,,,
梁奕柳,福建,泉州,福建省泉州市第一医院,内科,神经内科,住院医师,,2.7,,,,,,,,,,
黄颂平,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,主任医师,,3.3,293,慢性肺心病、呼吸衰竭（有创与无创呼吸机治疗）、支气管哮喘、肺癌、睡眠呼吸暂停综合症（打鼾）、慢支、肺气肿、肺结核、肺炎、肺栓塞、间质性肺病以及纤支镜诊断与介入治疗,"108,596次",12篇,293位,187位,188位,1,186例,96例
郭伟峰,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,副主任医师,副教授,3.3,17,肺癌的微创治疗,"30,566次",0篇,17位,0位,0位,,,
蔡志明,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,副主任医师,,3.2,10,"哮喘，慢阻肺，肺部感染，肿瘤等疾病的诊治
睡眠呼吸暂停疾病的诊治","14,077次",0篇,10位,4位,4位,,,
许庆华,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,副主任医师,,3.2,1,呼吸系统疾病的诊治,"6,180次",0篇,1位,1位,1位,,,
张祥娥,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,主治医师,,3.2,128,肺部感染，肺部肿瘤，哮喘，慢阻肺，睡眠呼吸暂停等疾病的诊治,"57,584次",14篇,128位,25位,27位,,,
沈冰寒,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,副主任医师,,3.2,5,呼吸系统肿瘤，感染，哮喘，肺气肿，慢阻肺等呼吸系统疾病的诊治，以及纤维支气管镜的操作和呼吸机的使用,"11,702次",0篇,5位,4位,4位,,,
许白兰,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,副主任医师,副教授,3.2,,疑难危重结核病、非结核分枝杆菌病、呼吸系统疾病的诊治,,,,,,,,
吴燕玲,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,住院医师,,3.1,1,呼吸系统肿瘤，感染，哮喘，肺气肿，慢阻肺等呼吸系统疾病的诊治，以及纤维支气管镜的操作和呼吸机的使用,"7,128次",0篇,1位,1位,1位,,,
黄鸿波,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,副主任医师,,3.1,,肺癌的微创治疗，呼吸内科常见病的诊治,"11,302次",0篇,0位,0位,0位,,,
叶晓艺,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,副主任医师,,3.1,,呼吸内科疾病的诊治,,,,,,,,
李文岚,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,主任医师,,3.1,,慢阻肺、哮喘、肺部感染、肺血管疾病、肺癌等的诊治,,,,,,,,
庄锡彬,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,主任医师,,3.1,,呼吸内科，尤其是哮喘、肺癌,,,,,,,,
林艺坚,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,主治医师,,3.0,,,,,,,,,,
何约明,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,副主任医师,,3.0,,呼吸内科常见病,"16,614次",0篇,0位,0位,0位,,,
黄弘,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,副主任医师,,3.0,,慢阻肺，肺部占位性病变，胸膜疾病等的诊治,,,,,,,,
徐萌,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,主治医师,,3.0,4,"呼吸系统疾病
肥胖疾病的咨询，及健康管理
戒烟","13,249次",0篇,4位,0位,0位,,,
寇美丽,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,主治医师,,3.0,,,,,,,,,,
林显辉,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,主治医师,,3.0,,,,,,,,,,
陈晓芳,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,住院医师,,2.9,,,,,,,,,,
黄俊玲,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,,,2.9,,,,,,,,,,
彭淑芬,福建,泉州,福建省泉州市第一医院,内科,呼吸内科,,,2.9,,,,,,,,,,
苏智军,福建,泉州,福建省泉州市第一医院,内科,感染科,主任医师,教授,3.2,5,重型肝炎的综合治疗、各种病因肝硬化的诊断与治疗、乙型肝炎抗病毒治疗研究、病毒性肝炎的病原学研究、医院感染、免疫功能低下患者合并感染的临床诊治,"93,079次",10篇,5位,0位,0位,,,
林琪,福建,泉州,福建省泉州市第一医院,内科,感染科,主任医师,,3.0,,病毒性肝炎的临床治疗,,,,,,,,
刘江福,福建,泉州,福建省泉州市第一医院,内科,感染科,主治医师,,3.8,2189,艾滋病及相关并发症、各种急慢性肝病（甲肝、乙肝、丙肝、戊肝、酒精肝、自身免疫性肝病、脂肪肝、药物肝、肝硬化、肝癌等）、各种感染性疾病（不明原因发热、各系统细菌真菌感染病等）、常见传染性疾病（梅毒、水痘、麻疹、腮腺炎等）、艾滋病暴露后预防、恐艾症、乙肝母婴阻断、艾滋病母婴阻断，常见传染病疫苗咨询，狂犬病暴露后处理等。,"697,925次",22篇,2189位,232位,233位,,,
郭如意,福建,泉州,福建省泉州市第一医院,内科,感染科,主任医师,副教授,3.2,27,"1、不明原因肝功能异常、乙肝、丙肝、脂肪肝、肝硬化等肝病；
2、不明原因发热、细菌真菌感染、艾滋病等疑难感染病","6,480次",0篇,27位,2位,2位,,,
陈素梅,福建,泉州,福建省泉州市第一医院,内科,感染科,主任医师,副教授,3.2,49,各种原因引起的肝炎、肝硬化、肝肿瘤（病毒性、酒精性、药物性、脂肪肝、自身免疫性肝炎遗传代谢性等)，发热性疾病，出疹性疾病、感染性腹泻、艾滋病等各种病原体引起的感染性、传染性疾病,"39,299次",7篇,49位,41位,42位,1,41例,30例
向骏,福建,泉州,福建省泉州市第一医院,内科,感染科,主任医师,,3.0,,肝科疾病临床诊治,,,,,,,,
曾庆欣,福建,泉州,福建省泉州市第一医院,内科,感染科,主任医师,,3.0,,传染病、肝病,,,,,,,,
林万朝,福建,泉州,福建省泉州市第一医院,内科,感染科,主任医师,,3.0,,肝病诊治,,,,,,,,
张奕返,福建,泉州,福建省泉州市第一医院,内科,感染科,主任医师,,3.0,,病毒性肝炎、肝硬化、脂肪肝等肝脏疾病及其他感染性疾病的诊治有丰富临床经验，慢性病毒性肝炎、重型肝炎及不明原因发热等疑难病症的明确诊断和规范治疗,,,,,,,,
高艺鹏,福建,泉州,福建省泉州市第一医院,内科,感染科,主治医师,,2.9,13,感染性疾病：艾滋病，肝病，肝癌，肺结核，肺部感染，软组织感染，脑膜炎等常见传染性疾病诊治！,"10,530次",0篇,13位,0位,0位,,,
叶汉年,福建,泉州,福建省泉州市第一医院,内科,感染科,主任医师,,2.9,,肝脏病与感染病内科,,,,,,,,
杨鹏雅,福建,泉州,福建省泉州市第一医院,内科,感染科,副主任医师,,2.9,88,各种肝病(病毒性肝炎、酒精性、药物性、脂肪肝、自身免疫性肝炎等)，发热性疾病，出疹性疾病、感染性腹泻、流行性腮腺炎、流行性出血热等,"75,541次",18篇,88位,35位,41位,,,
李菊兰,福建,泉州,福建省泉州市第一医院,内科,感染科,住院医师,,2.9,,酒精性、药物性、脂肪肝、自身免疫性肝炎等疾病诊治,"8,321次",0篇,0位,0位,0位,,,
史美育,福建,泉州,福建省泉州市第一医院,内科,感染科,副主任医师,,2.9,,肝脏病与感染病内科,,,,,,,,
林志鹏,福建,泉州,福建省泉州市第一医院,内科,感染科,副主任医师,讲师,2.9,31,各种类型的肝病（包括乙肝，丙肝、脂肪肝等），重型肝炎人工肝支持治疗，发热原因待查，各类出疹性疾病。,"191,103次",12篇,31位,0位,1位,,,
林永年,福建,泉州,福建省泉州市第一医院,内科,感染科,副主任医师,,2.9,,艾滋病，感染性疾病，肝病等的诊治,,,,,,,,
王星,福建,泉州,福建省泉州市第一医院,内科,感染科,主治医师,,2.8,21,感染性疾病，艾滋病，肝病,,0篇,0位,0位,0位,,,
李由,福建,泉州,福建省泉州市第一医院,内科,感染科,住院医师,,2.8,,肝病， 乙肝，酒精肝，脂肪肝的诊治,"6,729次",0篇,0位,0位,0位,,,
朱雄鹏,福建,泉州,福建省泉州市第一医院,内科,血液科,主任医师,教授,3.3,204,淋巴瘤、白血病、骨髓增殖性肿瘤、贫血、血小板减少性以及细胞免疫治疗和造血干细胞移植,"928,270次",99篇,204位,0位,1位,,,
李纯团,福建,泉州,福建省泉州市第一医院,内科,血液科,副主任医师,,3.0,,血液病、淋巴瘤、细胞免疫治疗、造血干细胞移植,,,,,,,,
吴立德,福建,泉州,福建省泉州市第一医院,内科,血液科,副主任医师,,3.0,,内科血液专业,,,,,,,,
李碧玲,福建,泉州,福建省泉州市第一医院,内科,血液科,主任医师,,2.9,,重型再障、难治复发白血病、骨髓瘤、淋巴瘤、恶组、骨髓增生性疾病、溶血性贫血、难治性血小板减少性紫癜、职业中毒疾病等的诊断和治疗,,,,,,,,
刘德斌,福建,泉州,福建省泉州市第一医院,内科,血液科,主任医师,,2.9,4,血液系统疾病的诊治及造血干细胞移植,,0篇,0位,0位,0位,,,
张奕加,福建,泉州,福建省泉州市第一医院,内科,血液科,主任医师,,2.9,,内科血液病学、造血干细胞移植,,,,,,,,
许文前,福建,泉州,福建省泉州市第一医院,内科,血液科,主任医师,,2.9,,,,,,,,,,
肖慧芳,福建,泉州,福建省泉州市第一医院,内科,血液科,主治医师,,2.9,,白血病 淋巴瘤 多发性骨髓瘤等疾病诊治,"6,744次",0篇,0位,0位,0位,,,
黄增敏,福建,泉州,福建省泉州市第一医院,内科,血液科,主任医师,,2.8,,贫血性疾病的诊断与治疗、难治复发的急性白血病、慢粒及慢淋白血病、原发性血小板减少性紧癜、再生障碍性贫血、骨髓增生异常综合征、恶性淋巴瘤、多发性骨髓瘤等诸多疾病的治疗,,,,,,,,
辛鹏亮,福建,泉州,福建省泉州市第一医院,内科,血液科,副主任医师,,2.8,,,"1,962次",0篇,0位,0位,0位,,,
杨建忠,福建,泉州,福建省泉州市第一医院,内科,血液科,副主任医师,,2.8,,,,,,,,,,
骆云龙,福建,泉州,福建省泉州市第一医院,内科,血液科,主治医师,,2.8,,,,,,,,,,
陈琦,福建,泉州,福建省泉州市第一医院,内科,血液科,主治医师,,2.8,,,,,,,,,,
郑艳,福建,泉州,福建省泉州市第一医院,内科,血液科,主治医师,,2.8,,,,,,,,,,
孙力,福建,泉州,福建省泉州市第一医院,内科,血液科,主治医师,,2.8,,,,,,,,,,
王少雄,福建,泉州,福建省泉州市第一医院,内科,血液科,主治医师,,2.8,,,,,,,,,,
何伟民,福建,泉州,福建省泉州市第一医院,内科,内分泌科,主任医师,,2.9,,诊治内分泌代谢性疾病的常见病，多发病，少见病及疑难病,,,,,,,,
张翼,福建,泉州,福建省泉州市第一医院,内科,内分泌科,主任医师,教授,3.3,45,糖尿病、甲状腺、痛风等代谢内分泌疾病,"104,476次",0篇,45位,18位,29位,,,
郭树龙,福建,泉州,福建省泉州市第一医院,内科,内分泌科,主任医师,教授,3.2,,营养代谢性疾病、下丘脑垂体疾病、肾上腺疾病、甲状腺及甲状旁腺疾病和性腺疾病的诊疗,,,,,,,,
何芳,福建,泉州,福建省泉州市第一医院,内科,内分泌科,主任医师,,3.0,,糖尿病、甲状腺及甲状旁腺疾病、肾上腺性高血压、垂体瘤、尿崩症、矮小症、多囊卵巢综合症、更年期综合症、痛风、低血糖症、低钾血症、高渗综合症、骨质疏松症等内分泌代谢疾病诊治,,,,,,,,
蒋建家,福建,泉州,福建省泉州市第一医院,内科,内分泌科,主任医师,,3.0,,糖尿病、肥胖症、性早熟、生长障碍、骨质疏松症的诊治,,,,,,,,
张雅萍,福建,泉州,福建省泉州市第一医院,内科,内分泌科,主治医师,,2.9,,,,,,,,,,
彭雪峰,福建,泉州,福建省泉州市第一医院,内科,内分泌科,主治医师,,2.9,,,,,,,,,,
卓雅芬,福建,泉州,福建省泉州市第一医院,内科,内分泌科,主治医师,,2.9,,,,,,,,,,
林毅辉,福建,泉州,福建省泉州市第一医院,内科,内分泌科,副主任医师,,2.9,,,,,,,,,,
毛艳玲,福建,泉州,福建省泉州市第一医院,内科,内分泌科,主治医师,,2.9,,,,,,,,,,
苏劲波,福建,泉州,福建省泉州市第一医院,内科,内分泌科,副主任医师,,2.9,,,,,,,,,,
孙志纯,福建,泉州,福建省泉州市第一医院,内科,内分泌科,副主任医师,,2.9,,糖尿病、甲状腺疾病、痛风等内分泌疾病的诊治。,,,,,,,,
牟伦盼,福建,泉州,福建省泉州市第一医院,内科,内分泌科,主治医师,,2.8,52,糖尿病及甲状腺等内分泌疾病的诊治,"54,682次",7篇,52位,23位,41位,,,
郭志军,福建,泉州,福建省泉州市第一医院,内科,老年病科,主任医师,,3.1,,冠心病、高血压病及各种心血管病疑难病症的诊治,,,,,,,,
张强,福建,泉州,福建省泉州市第一医院,内科,老年病科,副主任医师,,3.1,,冠心病的介入诊断和治疗及心血管危重症的救治,,,,,,,,
林惠琴,福建,泉州,福建省泉州市第一医院,内科,老年病科,主任医师,,3.0,27,心脑血管疾病、老年病,,0篇,0位,0位,0位,,,
